id,lat,lon,name,type,volume_l,city
1,33.574006,-7.407789,Casablanca_Pharmacy_1,pharmacy,241,Casablanca
2,33.538066,-7.559499,Casablanca_Hotel_2,hotel,4889,Casablanca
3,33.622414,-7.467214,Casablanca_Trash_Bin_3,trash_bin,211,Casablanca
4,33.62762,-7.453468,Casablanca_Trash_Bin_4,trash_bin,774,Casablanca
5,33.48243,-7.574631,Casablanca_Residential_5,residential,700,Casablanca
6,33.54554,-7.471292,Casablanca_Trash_Bin_6,trash_bin,426,Casablanca
7,33.50664,-7.6381,Casablanca_Residential_7,residential,931,Casablanca
8,33.601279,-7.42861,Casablanca_Restaurant_8,restaurant,672,Casablanca
9,33.589694,-7.466964,Casablanca_Pharmacy_9,pharmacy,788,Casablanca
10,33.440758,-7.50955,Casablanca_Trash_Bin_10,trash_bin,558,Casablanca
11,33.518594,-7.495368,Casablanca_Pharmacy_11,pharmacy,539,Casablanca
12,33.554935,-7.404378,Casablanca_Trash_Bin_12,trash_bin,629,Casablanca
13,33.652283,-7.46488,Casablanca_Pharmacy_13,pharmacy,960,Casablanca
14,33.552892,-7.473401,Casablanca_Trash_Bin_14,trash_bin,820,Casablanca
15,33.483151,-7.558243,Casablanca_Residential_15,residential,555,Casablanca
16,33.579204,-7.504557,Casablanca_Restaurant_16,restaurant,948,Casablanca
17,33.443017,-7.626406,Casablanca_Restaurant_17,restaurant,467,Casablanca
18,33.518344,-7.636462,Casablanca_Trash_Bin_18,trash_bin,353,Casablanca
19,33.580907,-7.480753,Casablanca_Trash_Bin_19,trash_bin,548,Casablanca
20,33.543651,-7.49017,Casablanca_Restaurant_20,restaurant,403,Casablanca
21,33.516941,-7.616831,Casablanca_Hotel_21,hotel,3249,Casablanca
22,33.47824,-7.518353,Casablanca_Trash_Bin_22,trash_bin,852,Casablanca
23,33.517196,-7.478852,Casablanca_Trash_Bin_23,trash_bin,605,Casablanca
24,33.509736,-7.596777,Casablanca_Trash_Bin_24,trash_bin,479,Casablanca
25,33.644788,-7.480167,Casablanca_Hotel_25,hotel,2025,Casablanca
26,33.568794,-7.545293,Casablanca_Restaurant_26,restaurant,445,Casablanca
27,33.452729,-7.710919,Casablanca_Trash_Bin_27,trash_bin,419,Casablanca
28,33.647786,-7.452977,Casablanca_Trash_Bin_28,trash_bin,819,Casablanca
29,33.457932,-7.571443,Casablanca_Trash_Bin_29,trash_bin,530,Casablanca
30,33.425449,-7.632356,Casablanca_Trash_Bin_30,trash_bin,788,Casablanca
31,33.485267,-7.530641,Casablanca_Trash_Bin_31,trash_bin,221,Casablanca
32,33.5011,-7.572574,Casablanca_Hotel_32,hotel,4067,Casablanca
33,33.50253,-7.572331,Casablanca_Hotel_33,hotel,2501,Casablanca
34,33.510942,-7.602965,Casablanca_Hotel_34,hotel,3719,Casablanca
35,33.457177,-7.631887,Casablanca_Restaurant_35,restaurant,314,Casablanca
36,33.477522,-7.672758,Casablanca_Hotel_36,hotel,2542,Casablanca
37,33.583794,-7.566905,Casablanca_Hospital_37,hospital,1689,Casablanca
38,33.632099,-7.411461,Casablanca_Hotel_38,hotel,2520,Casablanca
39,33.662032,-7.478408,Casablanca_Pharmacy_39,pharmacy,327,Casablanca
40,33.59673,-7.445864,Casablanca_Trash_Bin_40,trash_bin,363,Casablanca
41,33.558783,-7.411678,Casablanca_Trash_Bin_41,trash_bin,932,Casablanca
42,33.670916,-7.468196,Casablanca_Trash_Bin_42,trash_bin,748,Casablanca
43,33.475701,-7.616341,Casablanca_Trash_Bin_43,trash_bin,484,Casablanca
44,33.638225,-7.463935,Casablanca_Trash_Bin_44,trash_bin,302,Casablanca
45,33.634712,-7.436839,Casablanca_Trash_Bin_45,trash_bin,534,Casablanca
46,33.53145,-7.40731,Casablanca_Trash_Bin_46,trash_bin,497,Casablanca
47,33.553371,-7.611035,Casablanca_Restaurant_47,restaurant,586,Casablanca
48,33.579645,-7.461111,Casablanca_Restaurant_48,restaurant,471,Casablanca
49,33.529033,-7.597892,Casablanca_Pharmacy_49,pharmacy,954,Casablanca
50,33.482249,-7.628666,Casablanca_Trash_Bin_50,trash_bin,586,Casablanca
51,33.467115,-7.57145,Casablanca_Trash_Bin_51,trash_bin,651,Casablanca
52,33.490904,-7.464042,Casablanca_Trash_Bin_52,trash_bin,373,Casablanca
53,33.57359,-7.447678,Casablanca_Trash_Bin_53,trash_bin,440,Casablanca
54,33.518653,-7.634682,Casablanca_Trash_Bin_54,trash_bin,558,Casablanca
55,33.489521,-7.548347,Casablanca_Trash_Bin_55,trash_bin,792,Casablanca
56,33.583336,-7.437354,Casablanca_Trash_Bin_56,trash_bin,807,Casablanca
57,33.545741,-7.499412,Casablanca_Trash_Bin_57,trash_bin,360,Casablanca
58,33.453246,-7.584967,Casablanca_Hotel_58,hotel,3112,Casablanca
59,33.488941,-7.453914,Casablanca_Trash_Bin_59,trash_bin,685,Casablanca
60,33.572724,-7.578893,Casablanca_Trash_Bin_60,trash_bin,666,Casablanca
61,33.634323,-7.505996,Casablanca_Trash_Bin_61,trash_bin,250,Casablanca
62,33.471766,-7.538771,Casablanca_Trash_Bin_62,trash_bin,380,Casablanca
63,33.498827,-7.517552,Casablanca_Trash_Bin_63,trash_bin,343,Casablanca
64,33.451371,-7.501559,Casablanca_Hotel_64,hotel,3667,Casablanca
65,33.46307,-7.713718,Casablanca_Trash_Bin_65,trash_bin,643,Casablanca
66,33.570728,-7.415902,Casablanca_Trash_Bin_66,trash_bin,201,Casablanca
67,33.633403,-7.436274,Casablanca_Trash_Bin_67,trash_bin,296,Casablanca
68,33.548735,-7.548296,Casablanca_Trash_Bin_68,trash_bin,698,Casablanca
69,33.582026,-7.53362,Casablanca_Trash_Bin_69,trash_bin,970,Casablanca
70,33.424618,-7.618442,Casablanca_Trash_Bin_70,trash_bin,764,Casablanca
71,33.597708,-7.498706,Casablanca_Trash_Bin_71,trash_bin,647,Casablanca
72,33.450521,-7.50918,Casablanca_Hotel_72,hotel,1677,Casablanca
73,33.528631,-7.493831,Casablanca_Residential_73,residential,212,Casablanca
74,33.580797,-7.485505,Casablanca_Trash_Bin_74,trash_bin,859,Casablanca
75,33.606378,-7.464668,Casablanca_Hospital_75,hospital,1722,Casablanca
76,33.554346,-7.560407,Casablanca_Restaurant_76,restaurant,816,Casablanca
77,33.493839,-7.565872,Casablanca_Restaurant_77,restaurant,898,Casablanca
78,33.640835,-7.43974,Casablanca_Trash_Bin_78,trash_bin,484,Casablanca
79,33.471461,-7.67289,Casablanca_Hotel_79,hotel,4362,Casablanca
80,33.462363,-7.536636,Casablanca_Trash_Bin_80,trash_bin,530,Casablanca
81,33.516156,-7.626446,Casablanca_Trash_Bin_81,trash_bin,276,Casablanca
82,33.439051,-7.594968,Casablanca_Residential_82,residential,760,Casablanca
83,33.590112,-7.518897,Casablanca_Restaurant_83,restaurant,223,Casablanca
84,33.585834,-7.4814,Casablanca_Trash_Bin_84,trash_bin,484,Casablanca
85,33.48041,-7.69278,Casablanca_Restaurant_85,restaurant,656,Casablanca
86,33.486412,-7.643703,Casablanca_Trash_Bin_86,trash_bin,856,Casablanca
87,33.529469,-7.638387,Casablanca_Trash_Bin_87,trash_bin,808,Casablanca
88,33.448339,-7.511012,Casablanca_Hotel_88,hotel,4377,Casablanca
89,33.454972,-7.567904,Casablanca_Restaurant_89,restaurant,648,Casablanca
90,33.500274,-7.509665,Casablanca_Trash_Bin_90,trash_bin,688,Casablanca
91,33.55881,-7.413987,Casablanca_Trash_Bin_91,trash_bin,454,Casablanca
92,33.522167,-7.526081,Casablanca_Residential_92,residential,761,Casablanca
93,33.547444,-7.460699,Casablanca_Trash_Bin_93,trash_bin,560,Casablanca
94,33.569031,-7.584521,Casablanca_Trash_Bin_94,trash_bin,516,Casablanca
95,33.511641,-7.528245,Casablanca_Hotel_95,hotel,2436,Casablanca
96,33.43139,-7.578961,Casablanca_Restaurant_96,restaurant,340,Casablanca
97,33.536575,-7.611236,Casablanca_Trash_Bin_97,trash_bin,477,Casablanca
98,33.523615,-7.509518,Casablanca_Trash_Bin_98,trash_bin,915,Casablanca
99,33.495574,-7.646382,Casablanca_Trash_Bin_99,trash_bin,923,Casablanca
100,33.563072,-7.49195,Casablanca_Residential_100,residential,645,Casablanca
101,33.430898,-7.590453,Casablanca_Trash_Bin_101,trash_bin,644,Casablanca
102,33.557564,-7.404846,Casablanca_Trash_Bin_102,trash_bin,350,Casablanca
103,33.506883,-7.443874,Casablanca_Trash_Bin_103,trash_bin,521,Casablanca
104,33.541786,-7.434735,Casablanca_Restaurant_104,restaurant,835,Casablanca
105,33.593763,-7.546463,Casablanca_Trash_Bin_105,trash_bin,858,Casablanca
106,33.468151,-7.637456,Casablanca_Trash_Bin_106,trash_bin,730,Casablanca
107,33.636343,-7.444187,Casablanca_Trash_Bin_107,trash_bin,256,Casablanca
108,33.488251,-7.442069,Casablanca_Trash_Bin_108,trash_bin,758,Casablanca
109,33.632215,-7.44586,Casablanca_Trash_Bin_109,trash_bin,395,Casablanca
110,33.480943,-7.430116,Casablanca_Trash_Bin_110,trash_bin,653,Casablanca
111,33.506258,-7.604404,Casablanca_Trash_Bin_111,trash_bin,569,Casablanca
112,33.444587,-7.668011,Casablanca_Trash_Bin_112,trash_bin,679,Casablanca
113,33.588669,-7.43032,Casablanca_Trash_Bin_113,trash_bin,275,Casablanca
114,33.57035,-7.535424,Casablanca_Trash_Bin_114,trash_bin,876,Casablanca
115,33.635298,-7.437672,Casablanca_Trash_Bin_115,trash_bin,719,Casablanca
116,33.534348,-7.594326,Casablanca_Restaurant_116,restaurant,431,Casablanca
117,33.463401,-7.662458,Casablanca_Restaurant_117,restaurant,780,Casablanca
118,33.485894,-7.575917,Casablanca_Residential_118,residential,620,Casablanca
119,33.544525,-7.40781,Casablanca_Restaurant_119,restaurant,922,Casablanca
120,33.475752,-7.664493,Casablanca_Trash_Bin_120,trash_bin,668,Casablanca
121,33.626594,-7.518121,Casablanca_Trash_Bin_121,trash_bin,629,Casablanca
122,33.503111,-7.44902,Casablanca_Trash_Bin_122,trash_bin,543,Casablanca
123,33.438928,-7.58922,Casablanca_Trash_Bin_123,trash_bin,979,Casablanca
124,33.58474,-7.424181,Casablanca_Trash_Bin_124,trash_bin,544,Casablanca
125,33.656637,-7.468346,Casablanca_Trash_Bin_125,trash_bin,734,Casablanca
126,33.525085,-7.58368,Casablanca_Trash_Bin_126,trash_bin,681,Casablanca
127,33.518809,-7.499854,Casablanca_Trash_Bin_127,trash_bin,601,Casablanca
128,33.504317,-7.591408,Casablanca_Restaurant_128,restaurant,470,Casablanca
129,33.645091,-7.416955,Casablanca_Pharmacy_129,pharmacy,931,Casablanca
130,33.459427,-7.720055,Casablanca_Restaurant_130,restaurant,763,Casablanca
131,33.53886,-7.416819,Casablanca_Trash_Bin_131,trash_bin,602,Casablanca
132,33.583645,-7.5763,Casablanca_Trash_Bin_132,trash_bin,956,Casablanca
133,33.559439,-7.575704,Casablanca_Trash_Bin_133,trash_bin,268,Casablanca
134,33.558485,-7.512841,Casablanca_Trash_Bin_134,trash_bin,684,Casablanca
135,33.514661,-7.513147,Casablanca_Trash_Bin_135,trash_bin,221,Casablanca
136,33.563032,-7.57072,Casablanca_Trash_Bin_136,trash_bin,322,Casablanca
137,33.586348,-7.524041,Casablanca_Trash_Bin_137,trash_bin,589,Casablanca
138,33.46639,-7.554748,Casablanca_Trash_Bin_138,trash_bin,911,Casablanca
139,33.506984,-7.646792,Casablanca_Trash_Bin_139,trash_bin,741,Casablanca
140,33.532975,-7.484082,Casablanca_Restaurant_140,restaurant,537,Casablanca
141,33.537844,-7.438057,Casablanca_Residential_141,residential,734,Casablanca
142,33.625204,-7.524069,Casablanca_Trash_Bin_142,trash_bin,999,Casablanca
143,33.526739,-7.577261,Casablanca_Trash_Bin_143,trash_bin,253,Casablanca
144,33.561282,-7.484057,Casablanca_Trash_Bin_144,trash_bin,815,Casablanca
145,33.416514,-7.588365,Casablanca_Hospital_145,hospital,3918,Casablanca
146,33.566196,-7.471307,Casablanca_Trash_Bin_146,trash_bin,888,Casablanca
147,33.438116,-7.665315,Casablanca_Trash_Bin_147,trash_bin,932,Casablanca
148,33.564734,-7.399155,Casablanca_Restaurant_148,restaurant,819,Casablanca
149,33.562514,-7.582864,Casablanca_Trash_Bin_149,trash_bin,732,Casablanca
